player;shirtnumber;nationality;position;age;minutes;goals;assists;pens_made;pens_att;shots;shots_on_target;cards_yellow;cards_red;touches;tackles;interceptions;blocks;xg;npxg;xg_assist;sca;gca;passes_completed;passes;passes_pct;progressive_passes;carries;progressive_carries;take_ons;take_ons_won;passes_total_distance;passes_progressive_distance;passes_completed_short;passes_short;passes_pct_short;passes_completed_medium;passes_medium;passes_pct_medium;passes_completed_long;passes_long;passes_pct_long;pass_xa;assisted_shots;passes_into_final_third;passes_into_penalty_area;crosses_into_penalty_area;passes_live;passes_dead;passes_free_kicks;through_balls;passes_switches;crosses;throw_ins;corner_kicks;corner_kicks_in;corner_kicks_out;corner_kicks_straight;passes_offsides;passes_blocked;tackles_won;tackles_def_3rd;tackles_mid_3rd;tackles_att_3rd;challenge_tackles;challenges;challenge_tackles_pct;challenges_lost;blocked_shots;blocked_passes;tackles_interceptions;clearances;errors;touches_def_pen_area;touches_def_3rd;touches_mid_3rd;touches_att_3rd;touches_att_pen_area;touches_live_ball;take_ons_won_pct;take_ons_tackled;take_ons_tackled_pct;carries_distance;carries_progressive_distance;carries_into_final_third;carries_into_penalty_area;miscontrols;dispossessed;passes_received;progressive_passes_received;cards_yellow_red;fouls;fouled;offsides;pens_won;pens_conceded;own_goals;ball_recoveries;aerials_won;aerials_lost;aerials_won_pct
Zeki Amdouni;25;ch SUI;FW;22-250;60;0;0;0;0;1;1;0;0;23.0;1.0;0;0.0;0.0;0.0;0.0;1.0;0.0;10.0;11.0;90.9;0.0;11.0;1.0;4.0;2.0;142.0;48.0;6.0;7.0;85.7;1.0;1.0;100.0;2.0;2.0;100.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1.0;1.0;1.0;100.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;3.0;9.0;11.0;3.0;23.0;50.0;2.0;50.0;63.0;17.0;0.0;1.0;3.0;1.0;15.0;3.0;0;0;2;0;0.0;0.0;0;4.0;1.0;2.0;33.3
   Anass Zaroury;19;ma MAR;FW;22-277;29;0;0;0;0;1;0;0;1;13.0;0.0;0;0.0;0.0;0.0;0.0;1.0;0.0;10.0;12.0;83.3;0.0;6.0;0.0;0.0;0.0;203.0;52.0;4.0;4.0;100.0;3.0;3.0;100.0;3.0;5.0;60.0;0.1;1.0;0.0;0.0;0.0;7.0;5.0;0.0;0.0;0.0;4;0.0;4.0;2.0;2.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;7.0;0.0;13.0;;0.0;;13.0;4.0;0.0;0.0;0.0;0.0;7.0;1.0;0;1;1;0;0.0;0.0;0;1.0;0.0;0.0;
Lyle Foster;17;za RSA;LM;22-342;89;0;0;0;0;2;0;0;0;37.0;2.0;0;2.0;0.1;0.1;0.0;3.0;0.0;14.0;20.0;70.0;2.0;14.0;2.0;3.0;1.0;247.0;43.0;5.0;7.0;71.4;7.0;8.0;87.5;1.0;2.0;50.0;0.0;1.0;1.0;1.0;0.0;16.0;4.0;1.0;0.0;1.0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1.0;1.0;0.0;0.0;0.0;;0.0;0.0;2.0;2.0;2.0;0.0;3.0;5.0;23.0;10.0;4.0;37.0;33.3;2.0;66.7;103.0;51.0;1.0;1.0;3.0;2.0;18.0;3.0;0;1;0;0;0.0;0.0;0;5.0;2.0;3.0;40.0
   Nathan Redmond;15;eng ENG;LM;29-158;1;0;0;0;0;0;0;0;0;2.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;50.0;0.0;2.0;0.0;0.0;0.0;31.0;0.0;0.0;0.0;;0.0;0.0;;1.0;2.0;50.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;;0.0;;10.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;
Josh Cullen;24;ie IRL;CM;27-126;90;0;0;0;0;0;0;0;0;46.0;1.0;0;1.0;0.0;0.0;0.0;0.0;0.0;37.0;43.0;86.0;2.0;16.0;0.0;0.0;0.0;659.0;112.0;17.0;18.0;94.4;18.0;19.0;94.7;1.0;3.0;33.3;0.0;0.0;1.0;0.0;0.0;41.0;2.0;1.0;0.0;0.0;2;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;3.0;21.0;19.0;6.0;0.0;46.0;;0.0;;48.0;18.0;0.0;0.0;0.0;0.0;30.0;1.0;0;0;2;0;0.0;0.0;0;5.0;0.0;0.0;
Sander Berge;16;no NOR;CM;25-178;89;0;0;0;0;0;0;0;0;33.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;23.0;28.0;82.1;1.0;12.0;0.0;0.0;0.0;413.0;57.0;12.0;13.0;92.3;8.0;10.0;80.0;3.0;4.0;75.0;0.0;0.0;1.0;0.0;0.0;27.0;1.0;1.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;12.0;18.0;3.0;1.0;33.0;;0.0;;35.0;17.0;0.0;0.0;1.0;0.0;24.0;1.0;0;2;0;0;0.0;0.0;0;3.0;2.0;0.0;100.0
   Josh Brownhill;8;eng ENG;CM;27-235;1;0;0;0;0;0;0;0;0;2.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;100.0;0.0;0.0;0.0;0.0;0.0;43.0;0.0;0.0;0.0;;2.0;2.0;100.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;2.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;
Luca Koleosho;30;it ITA;RM;18-330;60;0;0;0;0;1;0;0;0;23.0;0.0;0;0.0;0.1;0.1;0.1;2.0;0.0;8.0;14.0;57.1;0.0;18.0;1.0;2.0;0.0;71.0;8.0;6.0;6.0;100.0;1.0;6.0;16.7;0.0;0.0;;0.0;2.0;0.0;0.0;0.0;13.0;1.0;0.0;0.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;11.0;11.0;2.0;23.0;0.0;2.0;100.0;90.0;26.0;2.0;0.0;3.0;1.0;16.0;1.0;0;1;0;0;0.0;0.0;0;5.0;0.0;1.0;0.0
   Jacob Bruun Larsen;34;dk DEN;RM;24-326;30;0;0;0;0;1;0;0;0;9.0;0.0;0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;6.0;66.7;2.0;4.0;3.0;0.0;0.0;55.0;21.0;2.0;3.0;66.7;2.0;2.0;100.0;0.0;0.0;;0.0;0.0;0.0;2.0;0.0;5.0;1.0;0.0;0.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;7.0;2.0;9.0;;0.0;;53.0;37.0;1.0;1.0;1.0;0.0;6.0;3.0;0;2;0;0;0.0;0.0;0;0.0;2.0;0.0;100.0
Vitinho;22;br BRA;LB;24-019;90;0;0;0;0;0;0;0;0;31.0;0.0;1;2.0;0.0;0.0;0.1;2.0;0.0;20.0;25.0;80.0;0.0;14.0;1.0;1.0;0.0;245.0;40.0;16.0;16.0;100.0;4.0;5.0;80.0;0.0;0.0;;0.0;1.0;0.0;0.0;0.0;21.0;4.0;1.0;0.0;0.0;0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;1.0;1.0;1.0;0.0;1.0;11.0;15.0;5.0;1.0;31.0;0.0;1.0;100.0;78.0;29.0;0.0;0.0;0.0;0.0;17.0;2.0;0;1;1;0;0.0;0.0;0;2.0;0.0;0.0;
