homeTeam;awayTeam;player;status;league;season;matchweek;date;team
Frosinone;Napoli;Stefano Turati;firstSquad;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Riccardo Marchizza;firstSquad;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Simone Romagnoli;firstSquad;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Jaime Báez;firstSquad;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Giuseppe Caso;firstSquad;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Marvin Cuni;firstSquad;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Francesco Gelli;firstSquad;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Abdou Harroui;firstSquad;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Anthony Oyono;firstSquad;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Ilario Monterisi;firstSquad;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Luca Mazzitelli;firstSquad;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Michele Cerofolini;bench;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Lorenzo Palmisani;bench;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Marco Brescianini;bench;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Gennaro Borrelli;bench;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Matjaž Kamenšek Pahič;bench;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Hamza Haoudi;bench;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Luca Garritano;bench;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Giorgi Kvernadze;bench;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Luigi Canotto;bench;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Przemysław Szymiński;bench;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Soufiane Bidaoui;bench;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Daniel Macej;bench;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Enzo Barrenechea;bench;SerieA;23_24;1;2023-08-19;Frosinone
Frosinone;Napoli;Alex Meret;firstSquad;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Juan Jesus;firstSquad;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Victor Osimhen;firstSquad;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Amir Rrahmani;firstSquad;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Mathías Olivera;firstSquad;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Piotr Zieliński;firstSquad;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Matteo Politano;firstSquad;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Giovanni Di Lorenzo;firstSquad;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Jens Cajuste;firstSquad;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Stanislav Lobotka;firstSquad;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Giacomo Raspadori;firstSquad;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Nikita Contini Baranovsky;bench;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Pierluigi Gollini;bench;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Natan;bench;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Mário Rui;bench;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Elif Elmas;bench;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Hirving Lozano;bench;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Giovanni Simeone;bench;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Alessio Zerbin;bench;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Karim Zedadka;bench;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Lorenzo Russo;bench;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Leo Skiri Østigård;bench;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Alessandro Zanoli;bench;SerieA;23_24;1;2023-08-19;Napoli
Frosinone;Napoli;Andre-Frank Zambo Anguissa;bench;SerieA;23_24;1;2023-08-19;Napoli
Empoli;Hellas Verona;Elia Caprile;firstSquad;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Alberto Grassi;firstSquad;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Francesco Caputo;firstSquad;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Emmanuel Gyasi;firstSquad;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Liberato Cacace;firstSquad;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Răzvan Marin;firstSquad;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Matteo Cancellieri;firstSquad;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Tyronne Ebuehi;firstSquad;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Sebastiano Luperto;firstSquad;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Ardian Ismajli;firstSquad;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Tommaso Baldanzi;firstSquad;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Samuele Perisan;bench;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Lovro Štubljar;bench;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Giuseppe Pezzella;bench;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Steven Shpendi;bench;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Liam Henderson;bench;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Gabriele Guarino;bench;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Emmanuel Ekong;bench;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Filippo Ranocchia;bench;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Petar Stojanović;bench;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Luca Marianucci;bench;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Nicolas Haas;bench;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Roberto Piccoli;bench;SerieA;23_24;1;2023-08-19;Empoli
Empoli;Hellas Verona;Lorenzo Montipò;firstSquad;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Josh Doig;firstSquad;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Martin Hongla;firstSquad;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Giangiacomo Magnani;firstSquad;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Filippo Terracciano;firstSquad;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Cyril Ngonge;firstSquad;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Paweł Dawidowicz;firstSquad;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Ondrej Duda;firstSquad;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Diego Coppola;firstSquad;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Jordi Mboula;firstSquad;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Michael Folorunsho;firstSquad;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Alessandro Berardi;bench;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Simone Perilli;bench;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Bruno Amione;bench;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Milan Đurić;bench;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Joselito;bench;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Riccardo Saponara;bench;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Nicola Patanè;bench;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Juan Cabal;bench;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Alphadjo Cissè;bench;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Denis Cazzadori;bench;SerieA;23_24;1;2023-08-19;Hellas Verona
Empoli;Hellas Verona;Federico Bonazzoli;bench;SerieA;23_24;1;2023-08-19;Hellas Verona
Internazionale;Monza;Yann Sommer;firstSquad;SerieA;23_24;1;2023-08-19;Internazionale
Internazionale;Monza;Denzel Dumfries;firstSquad;SerieA;23_24;1;2023-08-19;Internazionale
Internazionale;Monza;Stefan de Vrij;firstSquad;SerieA;23_24;1;2023-08-19;Internazionale
Internazionale;Monza;Marcus Thuram;firstSquad;SerieA;23_24;1;2023-08-19;Internazionale
Internazionale;Monza;Lautaro Martínez;firstSquad;SerieA;23_24;1;2023-08-19;Internazionale
Internazionale;Monza;Hakan Çalhanoğlu;firstSquad;SerieA;23_24;1;2023-08-19;Internazionale
Internazionale;Monza;Henrikh Mkhitaryan;firstSquad;SerieA;23_24;1;2023-08-19;Internazionale
Internazionale;Monza;Nicolò Barella;firstSquad;SerieA;23_24;1;2023-08-19;Internazionale
Internazionale;Monza;Federico Dimarco;firstSquad;SerieA;23_24;1;2023-08-19;Internazionale
Internazionale;Monza;Matteo Darmian;firstSquad;SerieA;23_24;1;2023-08-19;Internazionale
Internazionale;Monza;Alessandro Bastoni;firstSquad;SerieA;23_24;1;2023-08-19;Internazionale
Internazionale;Monza;Raffaele Di Gennaro;bench;SerieA;23_24;1;2023-08-19;Internazionale
Internazionale;Monza;Emil Audero;bench;SerieA;23_24;1;2023-08-19;Internazionale
Internazionale;Monza;Stefano Sensi;bench;SerieA;23_24;1;2023-08-19;Internazionale
Internazionale;Monza;Juan Cuadrado;bench;SerieA;23_24;1;2023-08-19;Internazionale
Internazionale;Monza;Marko Arnautović;bench;SerieA;23_24;1;2023-08-19;Internazionale
Internazionale;Monza;Joaquín Correa;bench;SerieA;23_24;1;2023-08-19;Internazionale
