league;season;matchweek;homeTeam;awayTeam;homeGoals;awayGoals;date;hour;referee;homeLineup;awayLineup;homePossession;awayPossession;homePassingAccuracy;awayPassingAccuracy;homeShotsonTarget;awayShotsonTarget;homeSaves;awaySaves;homeFouls;awayFouls;homeCorners;awayCorners;homeCrosses;awayCrosses;homeTouches;awayTouches;homeTackles;awayTackles;homeInterceptions;awayInterceptions;homeAerialsWon;awayAerialsWon;homeClearances;awayClearances;homeOffsides;awayOffsides;homeGoalKicks;awayGoalKicks;homeThrowIns;awayThrowIns;homeLongBalls;awayLongBalls
SerieA;23_24;1;Frosinone;Napoli;1;3;2023-08-19;18:30;Matteo Marcenaro (Referee);Frosinone (4-3-3);Napoli (4-3-3);48%;52%;87%;86%;0%;42%;62%;%;14;17;4;6;7;18;575;591;6;20;2;3;4;9;19;9;3;3;7;3;15;11;46;48
SerieA;23_24;1;Empoli;Hellas Verona;0;1;2023-08-19;18:30;Luca Massimi (Referee);Empoli (4-2-3-1);Hellas Verona (3-4-3);48%;52%;64%;69%;40%;40%;75%;100%;17;18;2;4;5;14;457;506;12;20;5;11;11;29;13;21;2;3;7;8;37;24;81;95
SerieA;23_24;1;Internazionale;Monza;2;0;2023-08-19;20:45;Andrea Colombo (Referee);Inter (3-5-2);Monza (3-5-2);47%;53%;88%;90%;14%;17%;100%;33%;8;13;8;3;21;14;604;655;17;13;9;13;9;6;14;12;1;1;8;17;9;15;63;53
SerieA;23_24;1;Genoa;Fiorentina;1;4;2023-08-19;20:45;Giovanni Ayroldi (Referee);Genoa (3-5-2);Fiorentina (4-2-3-1);32%;68%;73%;86%;50%;56%;20%;50%;14;13;3;4;16;12;420;794;14;11;9;7;10;12;15;16;2;1;5;4;20;22;50;87
SerieA;23_24;1;Sassuolo;Atalanta;0;2;2023-08-20;18:30;Matteo Marchetti (Referee);Sassuolo (4-2-3-1);Atalanta (3-5-2);49%;51%;85%;83%;27%;25%;50%;100%;9;13;7;7;14;29;621;623;10;13;12;9;9;8;20;12;0;2;16;2;12;17;49;68
SerieA;23_24;1;Roma;Salernitana;2;2;2023-08-20;18:30;Ermanno Feliciani (Referee);Roma (3-1-4-2);Salernitana (3-4-3);60%;40%;79%;73%;23%;67%;0%;33%;12;9;9;1;30;3;622;446;15;9;9;10;22;12;6;21;1;1;3;13;28;17;73;60
SerieA;23_24;1;Lecce;Lazio;2;1;2023-08-20;20:45;Federico Dionisi (Referee);Lecce (4-3-3);Lazio (4-3-3);48%;52%;84%;84%;30%;40%;75%;71%;12;16;5;2;16;8;615;652;8;21;8;10;8;8;13;22;2;1;9;9;19;12;48;42
SerieA;23_24;1;Udinese;Juventus;0;3;2023-08-20;20:45;Antonio Rapuano (Referee);Udinese (3-5-2);Juventus (3-1-4-2);49%;51%;85%;82%;28%;38%;33%;100%;12;10;7;3;24;8;577;606;11;21;7;5;7;9;10;21;3;4;6;14;17;9;55;50
SerieA;23_24;1;Torino;Cagliari;0;0;2023-08-21;18:30;Francesco Cosso (Referee);Torino (3-4-3);Cagliari (3-4-3);57%;43%;77%;69%;18%;25%;100%;100%;8;12;8;3;20;14;586;469;10;18;8;10;21;20;15;17;1;2;11;10;22;17;85;90
SerieA;23_24;1;Bologna;Milan;0;2;2023-08-21;20:45;Luca Pairetto (Referee);Bologna (4-1-3-2);Milan (4-3-3);53%;47%;87%;83%;29%;56%;60%;100%;10;4;3;6;16;11;682;607;21;13;4;9;11;5;11;10;2;2;4;11;13;13;53;50
SerieA;23_24;2;Frosinone;Atalanta;2;1;2023-08-26;18:30;Juan Sacchi (Referee);Frosinone (4-2-3-1);Atalanta (3-4-1-2);37%;63%;73%;82%;38%;33%;83%;60%;10;10;3;7;8;29;528;785;13;16;15;9;22;21;28;8;1;1;10;8;21;28;70;57
SerieA;23_24;2;Monza;Empoli;2;0;2023-08-26;18:30;Gianluca Aureliano (Referee);Monza (3-4-3);Empoli (4-2-3-1);54%;46%;84%;81%;25%;33%;100%;60%;14;7;6;5;22;14;668;564;25;15;7;3;8;15;15;16;2;1;12;12;27;19;71;57
SerieA;23_24;2;Hellas Verona;Roma;2;1;2023-08-26;20:45;Daniele Doveri (Referee);Hellas Verona (3-4-3);Roma (3-5-2);29%;71%;65%;82%;60%;30%;85%;33%;17;12;1;12;5;31;338;634;12;16;5;2;23;27;36;5;0;3;14;6;15;21;67;63
SerieA;23_24;2;Milan;Torino;4;1;2023-08-26;20:45;Maurizio Mariani (Referee);Milan (4-3-3);Torino (3-4-3);59%;41%;85%;80%;33%;13%;0%;60%;13;16;2;1;11;13;602;451;10;12;9;8;12;8;7;16;1;2;7;7;11;10;48;51
SerieA;23_24;2;Juventus;Bologna;1;1;2023-08-27;18:30;Marco Di Bello (Referee);Juventus (3-1-4-2);Bologna (4-2-3-1);58%;42%;83%;80%;21%;40%;75%;66%;15;13;6;2;26;9;697;551;13;18;9;6;12;11;10;27;4;0;8;7;25;17;45;67
SerieA;23_24;2;Fiorentina;Lecce;2;2;2023-08-27;18:30;Maria Sole Ferrieri Caputi (Referee);Fiorentina (4-2-3-1);Lecce (4-3-3);59%;41%;80%;71%;40%;33%;0%;50%;16;15;3;3;19;9;592;441;23;20;8;5;13;17;9;15;2;1;1;11;24;21;78;52
SerieA;23_24;2;Napoli;Sassuolo;2;0;2023-08-27;20:45;Antonio Giua (Referee);Napoli (4-3-3);Sassuolo (4-3-3);67%;33%;89%;80%;17%;17%;100%;75%;9;10;12;4;25;10;804;458;18;17;3;7;13;5;6;23;4;0;4;15;15;6;47;38
SerieA;23_24;2;Lazio;Genoa;0;1;2023-08-27;20:45;Livio Marinelli (Referee);Lazio (4-3-3);Genoa (4-3-2-1);70%;30%;83%;72%;13%;60%;66%;100%;9;16;15;1;50;10;898;486;10;18;4;15;8;20;12;57;0;0;2;13;29;13;65;72
SerieA;23_24;2;Salernitana;Udinese;1;1;2023-08-28;18:30;Davide Massa (Referee);Salernitana (3-4-3);Udinese (3-5-2);56%;44%;76%;74%;44%;43%;83%;75%;12;19;7;5;19;18;555;470;9;12;10;13;13;25;18;18;1;1;12;9;13;12;68;64
SerieA;23_24;2;Cagliari;Internazionale;0;2;2023-08-28;20:45;Michael Fabbri (Referee);Cagliari (4-2-3-1);Inter (3-5-2);33%;67%;74%;84%;17%;18%;33%;100%;9;10;4;7;22;28;494;845;12;25;6;2;11;16;40;20;1;2;9;10;14;15;68;87
SerieA;23_24;3;Sassuolo;Hellas Verona;3;1;2023-09-01;18:30;Marco Piccinini (Referee);Sassuolo (4-3-3);Hellas Verona (3-4-1-2);47%;53%;73%;79%;40%;27%;66%;66%;8;13;10;1;24;12;508;582;11;15;10;4;16;19;6;32;1;4;12;6;25;12;79;81
SerieA;23_24;3;Roma;Milan;1;2;2023-09-01;20:45;Antonio Rapuano (Referee);Roma (3-5-2);Milan (4-2-3-1);44%;56%;81%;87%;15%;38%;66%;50%;14;15;3;5;22;11;513;659;12;6;8;8;15;10;7;17;1;1;5;12;17;6;62;60
SerieA;23_24;3;Bologna;Cagliari;2;1;2023-09-02;18:30;Daniele Orsato (Referee);Bologna (4-2-3-1);Cagliari (4-1-3-2);71%;29%;88%;73%;47%;14%;0%;71%;9;13;5;2;17;18;865;424;17;11;6;11;7;6;13;15;1;1;11;9;23;17;55;54
SerieA;23_24;3;Udinese;Frosinone;0;0;2023-09-02;18:30;Marco Guida (Referee);Udinese (3-5-2);Frosinone (4-2-3-1);47%;53%;76%;77%;50%;8%;100%;100%;14;9;3;5;16;16;502;549;16;24;4;7;16;16;17;17;0;2;15;8;26;20;59;71
SerieA;23_24;3;Napoli;Lazio;1;2;2023-09-02;20:45;Andrea Colombo (Referee);Napoli (4-3-3);Lazio (4-3-3);62%;38%;84%;80%;18%;33%;0%;75%;8;9;7;2;24;7;739;525;13;11;11;10;11;10;7;38;4;3;3;12;22;8;56;40
SerieA;23_24;3;Atalanta;Monza;3;0;2023-09-02;20:45;Matteo Marcenaro (Referee);Atalanta (3-4-1-2);Monza (3-4-3);41%;59%;82%;85%;44%;25%;100%;62%;11;9;7;3;23;14;585;755;14;20;9;7;13;13;15;14;4;1;8;6;14;22;49;73
SerieA;23_24;3;Torino;Genoa;1;0;2023-09-03;18:30;Daniele Chiffi (Referee);Torino (3-4-3);Genoa (4-3-2-1);63%;37%;81%;69%;30%;29%;100%;66%;13;7;4;0;26;4;633;426;7;16;6;10;12;14;6;24;5;2;11;9;18;10;49;72
SerieA;23_24;3;Internazionale;Fiorentina;4;0;2023-09-03;18:30;Matteo Marchetti (Referee);Inter (3-5-2);Fiorentina (4-2-3-1);40%;60%;82%;85%;50%;33%;100%;70%;13;12;1;1;9;15;468;639;19;3;9;7;11;7;12;10;0;1;3;7;13;22;44;87
SerieA;23_24;3;Lecce;Salernitana;2;0;2023-09-03;20:45;Luca Massimi (Referee);Lecce (4-3-3);Salernitana (3-4-3);46%;54%;75%;77%;26%;36%;100%;80%;17;15;6;5;17;19;521;559;24;18;6;4;21;12;22;16;0;1;8;6;33;28;61;59
SerieA;23_24;3;Empoli;Juventus;0;2;2023-09-03;20:45;Giovanni Ayroldi (Referee);Empoli (4-3-3);Juventus (3-5-2);50%;50%;83%;83%;0%;24%;50%;%;14;13;3;7;27;19;590;620;8;17;4;12;4;5;11;25;2;1;8;8;17;13;43;71
SerieA;23_24;4;Juventus;Lazio;3;1;2023-09-16;15:00;Fabio Maresca (Referee);Juventus (3-1-4-2);Lazio (4-3-3);36%;64%;81%;89%;41%;31%;80%;57%;13;13;7;9;11;19;479;744;14;9;10;6;12;4;17;8;1;0;11;11;11;10;56;43
SerieA;23_24;4;Internazionale;Milan;5;1;2023-09-16;18:00;Simone Sozza (Referee);Inter (3-5-2);Milan (4-3-3);41%;59%;81%;89%;46%;22%;50%;33%;16;13;5;0;12;8;464;644;12;8;5;5;8;6;10;18;2;2;9;5;16;14;66;32
SerieA;23_24;4;Genoa;Napoli;2;2;2023-09-16;20:45;Michael Fabbri (Referee);Genoa (4-4-2);Napoli (4-3-3);34%;66%;71%;85%;38%;33%;50%;33%;14;8;3;1;15;14;429;743;15;19;7;7;16;14;17;14;1;3;11;3;16;22;53;44
SerieA;23_24;4;Cagliari;Udinese;0;0;2023-09-17;12:30;Daniele Doveri (Referee);Cagliari (3-5-2);Udinese (3-5-2);46%;54%;75%;82%;10%;9%;100%;100%;12;11;4;6;18;18;503;594;13;17;5;12;14;16;19;20;3;1;13;11;29;11;75;55
